2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; INFO; Utility Plugin; 13716; 18844] Loaded library v5.4.10.4 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; WARNING; User Experience Improvement Plugin; 13716; 18844] Can not find C:\Program Files\ASUS\ARMOURY CRATE Service\AsEncryptHelper.dll
2025-03-27 12:02:24; INFO; User Experience Improvement Plugin; 13716; 18844] Loaded library v5.8.9.5 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; INFO; Virtual Drive Plugin; 13716; 18844] Loaded library v5.1.2.0 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 5
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] Start Registering
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 5
